"Id","IsDeleted","TaskId","Seconds","Hours","Minutes","TimerStartDate","TimerEndDate","CreatedById","IsPaused","IsStopped","Message","StatusId","Notes","AccountId","ProjectId","TimeEntryCodeId","DepartmentId","IsFavourite","ResumeDate","IsProjectLevel","IsManual","ICRate","Rate","CreatedBySupervisorId","UpdatedBySupervisorId","CreatedDate","InvoiceId","SubmittedDate","UpdatedDate","IsModified","ModifiedBy","MetaInfo","IsRemote"
"ACEC3CB3-43C6-4496-6A01-08DB3F22AB73","False","","0","8","0","2023-04-17 14:20:39.000000","2023-04-17 14:20:39.000000","56405CB0-F063-4086-1407-08DB1E5A891C","False","True","","F1DE100E-A6C8-424E-A88E-7DE085095127","","","","F1FBDA57-62FE-48C3-C4A0-08DB20DE588E","D0CAB978-FCD9-49A2-D073-08DB0083974C","False","","False","True","0.0","0.0","","","2023-04-17 14:20:32.988970","","2023-04-17 14:20:32.988970","2023-04-17 14:20:32.988970","False","00000000-0000-0000-0000-000000000000","v2_Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36","False"
"E670BAC8-EDAC-4754-6A02-08DB3F22AB73","False","","0","8","0","2023-04-18 14:20:46.000000","2023-04-18 14:20:46.000000","56405CB0-F063-4086-1407-08DB1E5A891C","False","True","","F1DE100E-A6C8-424E-A88E-7DE085095127","","","","F1FBDA57-62FE-48C3-C4A0-08DB20DE588E","D0CAB978-FCD9-49A2-D073-08DB0083974C","False","","False","True","0.0","0.0","","","2023-04-17 14:20:40.027392","","2023-04-17 14:20:40.027393","2023-04-17 14:20:40.027393","False","00000000-0000-0000-0000-000000000000","v2_Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36","False"
"CC7C9A13-1A8F-4CFE-6A03-08DB3F22AB73","False","","0","8","0","2023-04-19 14:20:51.000000","2023-04-19 14:20:51.000000","56405CB0-F063-4086-1407-08DB1E5A891C","False","True","","F1DE100E-A6C8-424E-A88E-7DE085095127","","","","F1FBDA57-62FE-48C3-C4A0-08DB20DE588E","D0CAB978-FCD9-49A2-D073-08DB0083974C","False","","False","True","0.0","0.0","","","2023-04-17 14:20:45.439404","","2023-04-17 14:20:45.439404","2023-04-17 14:20:45.439404","False","00000000-0000-0000-0000-000000000000","v2_Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36","False"
"1352BC91-5EC2-43C9-6A05-08DB3F22AB73","False","","0","8","0","2023-04-20 14:20:59.000000","2023-04-20 14:20:59.000000","56405CB0-F063-4086-1407-08DB1E5A891C","False","True","","F1DE100E-A6C8-424E-A88E-7DE085095127","","","","F1FBDA57-62FE-48C3-C4A0-08DB20DE588E","D0CAB978-FCD9-49A2-D073-08DB0083974C","False","","False","True","0.0","0.0","","","2023-04-17 14:20:52.762712","","2023-04-17 14:20:52.762712","2023-04-17 14:20:52.762713","False","00000000-0000-0000-0000-000000000000","v2_Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36","False"
"995B60F7-5410-469C-6A06-08DB3F22AB73","False","","0","8","0","2023-04-21 14:21:04.000000","2023-04-21 14:21:04.000000","56405CB0-F063-4086-1407-08DB1E5A891C","False","True","","F1DE100E-A6C8-424E-A88E-7DE085095127","","","","F1FBDA57-62FE-48C3-C4A0-08DB20DE588E","D0CAB978-FCD9-49A2-D073-08DB0083974C","False","","False","True","0.0","0.0","","","2023-04-17 14:20:58.308507","","2023-04-17 14:20:58.308507","2023-04-17 14:20:58.308507","False","00000000-0000-0000-0000-000000000000","v2_Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36","False"
"07F0B3FC-6976-4B2A-6A08-08DB3F22AB73","False","","0","8","0","2023-04-24 14:21:12.000000","2023-04-24 14:21:12.000000","56405CB0-F063-4086-1407-08DB1E5A891C","False","True","","F1DE100E-A6C8-424E-A88E-7DE085095127","","","","F1FBDA57-62FE-48C3-C4A0-08DB20DE588E","D0CAB978-FCD9-49A2-D073-08DB0083974C","False","","False","True","0.0","0.0","","","2023-04-17 14:21:06.703595","","2023-04-17 14:21:06.703595","2023-04-17 14:21:06.703595","False","00000000-0000-0000-0000-000000000000","v2_Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36","False"
"A5E1FEC3-E904-4BDF-6A09-08DB3F22AB73","False","","0","8","0","2023-04-25 14:21:22.000000","2023-04-25 14:21:22.000000","56405CB0-F063-4086-1407-08DB1E5A891C","False","True","","F1DE100E-A6C8-424E-A88E-7DE085095127","","","","F1FBDA57-62FE-48C3-C4A0-08DB20DE588E","D0CAB978-FCD9-49A2-D073-08DB0083974C","False","","False","True","0.0","0.0","","","2023-04-17 14:21:15.801182","","2023-04-17 14:21:15.801182","2023-04-17 14:21:15.801182","False","00000000-0000-0000-0000-000000000000","v2_Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36","False"
"948F51F3-8ED4-48CD-6A0B-08DB3F22AB73","False","","0","8","0","2023-04-26 14:21:27.000000","2023-04-26 14:21:27.000000","56405CB0-F063-4086-1407-08DB1E5A891C","False","True","","F1DE100E-A6C8-424E-A88E-7DE085095127","","","","F1FBDA57-62FE-48C3-C4A0-08DB20DE588E","D0CAB978-FCD9-49A2-D073-08DB0083974C","False","","False","True","0.0","0.0","","","2023-04-17 14:21:21.256613","","2023-04-17 14:21:21.256613","2023-04-17 14:21:21.256613","False","00000000-0000-0000-0000-000000000000","v2_Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36","False"
"A7FCF542-E4E5-4D1D-6A0E-08DB3F22AB73","False","","0","8","0","2023-04-27 14:21:31.000000","2023-04-27 14:21:31.000000","56405CB0-F063-4086-1407-08DB1E5A891C","False","True","","F1DE100E-A6C8-424E-A88E-7DE085095127","","","","F1FBDA57-62FE-48C3-C4A0-08DB20DE588E","D0CAB978-FCD9-49A2-D073-08DB0083974C","False","","False","True","0.0","0.0","","","2023-04-17 14:21:25.214531","","2023-04-17 14:21:25.214531","2023-04-17 14:21:25.214531","False","00000000-0000-0000-0000-000000000000","v2_Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36","False"
"97813FEA-B837-44C1-6A0F-08DB3F22AB73","False","","0","8","0","2023-04-28 14:21:36.000000","2023-04-28 14:21:36.000000","56405CB0-F063-4086-1407-08DB1E5A891C","False","True","","F1DE100E-A6C8-424E-A88E-7DE085095127","","","","F1FBDA57-62FE-48C3-C4A0-08DB20DE588E","D0CAB978-FCD9-49A2-D073-08DB0083974C","False","","False","True","0.0","0.0","","","2023-04-17 14:21:30.313263","","2023-04-17 14:21:30.313263","2023-04-17 14:21:30.313263","False","00000000-0000-0000-0000-000000000000","v2_Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36","False"
"11FAE58D-4FCB-4AC4-6A5A-08DB3F22AB73","False","","0","8","0","2023-04-17 15:15:09.000000","2023-04-17 15:15:09.000000","AB995316-AC5B-4F93-3F22-08DB008453BF","False","True","","F1DE100E-A6C8-424E-A88E-7DE085095127","","","","A8F50C29-C074-4B21-382D-08DB03BEAAAB","D0CAB978-FCD9-49A2-D073-08DB0083974C","False","","False","True","0.0","0.0","","","2023-04-17 15:15:06.097063","","2023-04-17 15:15:06.097063","2023-04-17 15:15:06.097064","False","00000000-0000-0000-0000-000000000000","v2_Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36","False"
"9ECFF5B8-0AC1-461A-6A5B-08DB3F22AB73","False","","0","8","0","2023-04-18 15:15:19.000000","2023-04-18 15:15:19.000000","AB995316-AC5B-4F93-3F22-08DB008453BF","False","True","","F1DE100E-A6C8-424E-A88E-7DE085095127","","","","A8F50C29-C074-4B21-382D-08DB03BEAAAB","D0CAB978-FCD9-49A2-D073-08DB0083974C","False","","False","True","0.0","0.0","","","2023-04-17 15:15:16.225017","","2023-04-17 15:15:16.225017","2023-04-17 15:15:16.225017","False","00000000-0000-0000-0000-000000000000","v2_Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36","False"
"0EFA950C-80C4-46A7-6A5C-08DB3F22AB73","False","","0","8","0","2023-04-19 15:15:25.000000","2023-04-19 15:15:25.000000","AB995316-AC5B-4F93-3F22-08DB008453BF","False","True","","F1DE100E-A6C8-424E-A88E-7DE085095127","","","","A8F50C29-C074-4B21-382D-08DB03BEAAAB","D0CAB978-FCD9-49A2-D073-08DB0083974C","False","","False","True","0.0","0.0","","","2023-04-17 15:15:24.691264","","2023-04-17 15:15:24.691265","2023-04-17 15:15:24.691265","False","00000000-0000-0000-0000-000000000000","v2_Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36","False"
"1B1ABFCD-87E8-4D21-6A5D-08DB3F22AB73","False","","0","8","0","2023-04-20 15:15:34.000000","2023-04-20 15:15:34.000000","AB995316-AC5B-4F93-3F22-08DB008453BF","False","True","","F1DE100E-A6C8-424E-A88E-7DE085095127","","","","A8F50C29-C074-4B21-382D-08DB03BEAAAB","D0CAB978-FCD9-49A2-D073-08DB0083974C","False","","False","True","0.0","0.0","","","2023-04-17 15:15:31.738055","","2023-04-17 15:15:31.738055","2023-04-17 15:15:31.738055","False","00000000-0000-0000-0000-000000000000","v2_Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36","False"
"ABFD0025-3F99-4199-6A5E-08DB3F22AB73","False","","0","8","0","2023-04-21 15:15:40.000000","2023-04-21 15:15:40.000000","AB995316-AC5B-4F93-3F22-08DB008453BF","False","True","","F1DE100E-A6C8-424E-A88E-7DE085095127","","","","A8F50C29-C074-4B21-382D-08DB03BEAAAB","D0CAB978-FCD9-49A2-D073-08DB0083974C","False","","False","True","0.0","0.0","","","2023-04-17 15:15:37.331714","","2023-04-17 15:15:37.331714","2023-04-17 15:15:37.331714","False","00000000-0000-0000-0000-000000000000","v2_Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/112.0.0.0 Safari/537.36","False"
