"Table Name","Started At","End At","Description","Status","Total Records","Created On","Triggered Medium"
"FolderAuthentications","2023-05-04, 05:11:01 AM","2023-05-04, 05:12:23 AM","Failed to prepare final CSV file with header and source data.","Failed","0","2023-05-04","MANUAL"
"FolderAuthentications","2023-05-04, 05:11:15 AM","2023-05-04, 05:12:30 AM","Failed to prepare final CSV file with header and source data.","Failed","0","2023-05-04","MANUAL"
"expense_log","2023-05-04, 05:13:48 AM","2023-05-04, 05:14:50 AM","Transformation process completed.","Success","12","2023-05-04","MANUAL"
"FolderAuthentications","2023-05-04, 05:14:59 AM","2023-05-04, 05:15:46 AM","Transformation process completed.","Success","0","2023-05-04","MANUAL"
"group","2023-05-04, 05:11:24 AM","2023-05-04, 05:17:22 AM","Failed to extract data from Source Db.","Failed","28","2023-05-04","MANUAL"
"group","2023-05-04, 05:11:24 AM","2023-05-04, 05:17:30 AM","Failed to prepare final CSV file with header and source data.","Failed","28","2023-05-04","MANUAL"
"group","2023-05-04, 05:19:18 AM","2023-05-04, 05:20:17 AM","Transformation process completed.","Success","28","2023-05-04","MANUAL"
"group_accountgroup","2023-05-04, 05:20:49 AM","2023-05-04, 05:21:46 AM","Transformation process completed.","Success","28","2023-05-04","SCHEDULED"
"lastinvoice","2023-05-04, 05:28:24 AM","2023-05-04, 05:29:08 AM","Transformation process completed.","Success","0","2023-05-04","SCHEDULED"
"MultiDayTimers","2023-05-04, 05:28:26 AM","2023-05-04, 05:29:12 AM","Transformation process completed.","Success","0","2023-05-04","SCHEDULED"
"group_usergroup","2023-05-04, 05:28:23 AM","2023-05-04, 05:29:27 AM","Transformation process completed.","Success","49","2023-05-04","SCHEDULED"
"NotificationCounts","2023-05-04, 05:31:56 AM","2023-05-04, 05:32:52 AM","Transformation process completed.","Success","9","2023-05-04","SCHEDULED"
"organizationunit","2023-05-04, 05:31:56 AM","2023-05-04, 05:32:57 AM","Transformation process completed.","Success","2","2023-05-04","SCHEDULED"
"Notifications","2023-05-04, 05:31:56 AM","2023-05-04, 05:33:36 AM","Transformation process completed.","Success","109","2023-05-04","SCHEDULED"
"organizationunit_assignedaccount","2023-05-04, 05:34:39 AM","2023-05-04, 05:35:42 AM","Transformation process completed.","Success","30","2023-05-04","SCHEDULED"
"organizationunit_assigneduser","2023-05-04, 05:34:41 AM","2023-05-04, 05:35:42 AM","Transformation process completed.","Success","20","2023-05-04","SCHEDULED"
"permission","2023-05-04, 05:36:21 AM","2023-05-04, 05:37:11 AM","Transformation process completed.","Success","4","2023-05-04","SCHEDULED"
"project","2023-05-04, 05:36:23 AM","2023-05-04, 05:37:50 AM","Transformation process completed.","Success","76","2023-05-04","SCHEDULED"
"project_assignedaccount","2023-05-04, 05:38:23 AM","2023-05-04, 05:39:42 AM","Transformation process completed.","Success","70","2023-05-04","SCHEDULED"
"project_assigneduser","2023-05-04, 05:38:25 AM","2023-05-04, 05:39:42 AM","Transformation process completed.","Success","73","2023-05-04","SCHEDULED"
"project_comment","2023-05-04, 05:39:56 AM","2023-05-04, 05:40:44 AM","Transformation process completed.","Success","0","2023-05-04","SCHEDULED"
"project_document","2023-05-04, 05:39:58 AM","2023-05-04, 05:40:46 AM","Transformation process completed.","Success","0","2023-05-04","SCHEDULED"
"project_notes","2023-05-04, 05:40:01 AM","2023-05-04, 05:40:50 AM","Transformation process completed.","Success","0","2023-05-04","SCHEDULED"
"project_notificationstatus","2023-05-04, 05:40:02 AM","2023-05-04, 05:41:05 AM","Transformation process completed.","Success","42","2023-05-04","SCHEDULED"
"project_task_priority","2023-05-04, 05:41:41 AM","2023-05-04, 05:42:31 AM","Transformation process completed.","Success","4","2023-05-04","SCHEDULED"
"project_task_status","2023-05-04, 05:41:43 AM","2023-05-04, 05:42:34 AM","Transformation process completed.","Success","10","2023-05-04","SCHEDULED"
"project_section","2023-05-04, 05:41:37 AM","2023-05-04, 05:42:57 AM","Transformation process completed.","Success","73","2023-05-04","SCHEDULED"
"project_task_timesheet","2023-05-04, 05:41:42 AM","2023-05-04, 05:43:53 AM","Transformation process completed.","Success","206","2023-05-04","SCHEDULED"
"project_task","2023-05-04, 05:41:40 AM","2023-05-04, 05:44:02 AM","Transformation process completed.","Success","225","2023-05-04","SCHEDULED"
"project_template","2023-05-04, 05:44:35 AM","2023-05-04, 05:45:24 AM","Transformation process completed.","Success","0","2023-05-04","SCHEDULED"
"project_type","2023-05-04, 05:44:36 AM","2023-05-04, 05:45:26 AM","Transformation process completed.","Success","2","2023-05-04","SCHEDULED"
"qb_invoice_attachment","2023-05-04, 05:44:40 AM","2023-05-04, 05:45:30 AM","Transformation process completed.","Success","0","2023-05-04","SCHEDULED"
"qb_expense_type","2023-05-04, 05:44:38 AM","2023-05-04, 05:45:30 AM","Transformation process completed.","Success","9","2023-05-04","SCHEDULED"
"qb_invoice","2023-05-04, 05:44:39 AM","2023-05-04, 05:45:34 AM","Transformation process completed.","Success","0","2023-05-04","SCHEDULED"
"qb_invoice_status","2023-05-04, 05:46:20 AM","2023-05-04, 05:47:16 AM","Transformation process completed.","Success","6","2023-05-04","SCHEDULED"
"qb_organizationunit","2023-05-04, 05:46:24 AM","2023-05-04, 05:47:21 AM","Transformation process completed.","Success","0","2023-05-04","SCHEDULED"
"qb_invoice_type","2023-05-04, 05:46:24 AM","2023-05-04, 05:47:23 AM","Transformation process completed.","Success","2","2023-05-04","SCHEDULED"
"qb_user","2023-05-04, 05:46:26 AM","2023-05-04, 05:47:23 AM","Transformation process completed.","Success","0","2023-05-04","SCHEDULED"
"recently_viewed_account","2023-05-04, 05:46:29 AM","2023-05-04, 05:47:25 AM","Transformation process completed.","Success","8","2023-05-04","SCHEDULED"
"rating","2023-05-04, 05:46:27 AM","2023-05-04, 05:47:30 AM","Transformation process completed.","Success","0","2023-05-04","SCHEDULED"
"recently_viewed_project","2023-05-04, 05:46:29 AM","2023-05-04, 05:47:30 AM","Transformation process completed.","Success","11","2023-05-04","SCHEDULED"
"retainer","2023-05-04, 05:48:45 AM","2023-05-04, 05:49:34 AM","Transformation process completed.","Success","0","2023-05-04","SCHEDULED"
"SowHistory","2023-05-04, 05:48:47 AM","2023-05-04, 05:49:39 AM","Transformation process completed.","Success","0","2023-05-04","SCHEDULED"
"smtpsetting","2023-05-04, 05:48:48 AM","2023-05-04, 05:49:40 AM","Transformation process completed.","Success","1","2023-05-04","SCHEDULED"
"RolePermissionModule","2023-05-04, 05:48:46 AM","2023-05-04, 05:49:49 AM","Transformation process completed.","Success","27","2023-05-04","SCHEDULED"
"StrategicObjectiveProjects","2023-05-04, 05:50:20 AM","2023-05-04, 05:51:15 AM","Transformation process completed.","Success","0","2023-05-04","SCHEDULED"
"StatementOfWork","2023-05-04, 05:50:16 AM","2023-05-04, 05:51:15 AM","Transformation process completed.","Success","0","2023-05-04","SCHEDULED"
"StrategicObjectiveActivityLogs","2023-05-04, 05:50:21 AM","2023-05-04, 05:51:19 AM","Transformation process completed.","Success","0","2023-05-04","SCHEDULED"
"task_assigneduser","2023-05-04, 05:50:26 AM","2023-05-04, 05:51:20 AM","Transformation process completed.","Success","0","2023-05-04","SCHEDULED"
"task_comment","2023-05-04, 05:50:26 AM","2023-05-04, 05:51:26 AM","Transformation process completed.","Success","0","2023-05-04","SCHEDULED"
"StrategicObjectiveUsers","2023-05-04, 05:50:24 AM","2023-05-04, 05:51:26 AM","Transformation process completed.","Success","0","2023-05-04","SCHEDULED"
"support_category","2023-05-04, 05:50:24 AM","2023-05-04, 05:51:26 AM","Transformation process completed.","Success","0","2023-05-04","SCHEDULED"
"task_comment_user","2023-05-04, 05:50:26 AM","2023-05-04, 05:51:26 AM","Transformation process completed.","Success","0","2023-05-04","SCHEDULED"
"support_article","2023-05-04, 05:50:22 AM","2023-05-04, 05:51:26 AM","Transformation process completed.","Success","0","2023-05-04","SCHEDULED"
"StrategicObjectives","2023-05-04, 05:50:23 AM","2023-05-04, 05:51:26 AM","Transformation process completed.","Success","0","2023-05-04","SCHEDULED"
"organizationunit_assignedaccount","2023-05-04, 05:55:59 AM","2023-05-04, 05:58:41 AM","Transformation process completed.","Success","30","2023-05-04","MANUAL"
"organizationunit_assignedaccount","2023-05-04, 05:58:02 AM","2023-05-04, 05:59:03 AM","Transformation process completed.","Success","30","2023-05-04","MANUAL"
"organizationunit_assigneduser","2023-05-04, 06:00:02 AM","2023-05-04, 06:00:57 AM","Transformation process completed.","Success","20","2023-05-04","MANUAL"
"permission","2023-05-04, 06:00:11 AM","2023-05-04, 06:01:01 AM","Transformation process completed.","Success","4","2023-05-04","MANUAL"
"task_dependent","2023-05-04, 06:01:50 AM","2023-05-04, 06:02:39 AM","Transformation process completed.","Success","0","2023-05-04","SCHEDULED"
"task_linked","2023-05-04, 06:01:52 AM","2023-05-04, 06:02:40 AM","Transformation process completed.","Success","0","2023-05-04","SCHEDULED"
"timeentry_payperiod","2023-05-04, 06:01:58 AM","2023-05-04, 06:02:49 AM","Transformation process completed.","Success","1","2023-05-04","SCHEDULED"
"timeentry_forecast","2023-05-04, 06:01:55 AM","2023-05-04, 06:02:49 AM","Transformation process completed.","Success","0","2023-05-04","SCHEDULED"
"timeentry_code","2023-05-04, 06:01:55 AM","2023-05-04, 06:02:56 AM","Transformation process completed.","Success","15","2023-05-04","SCHEDULED"
"user_communicationmediumsetting","2023-05-04, 06:03:44 AM","2023-05-04, 06:04:36 AM","Transformation process completed.","Success","0","2023-05-04","SCHEDULED"
"user_calendar","2023-05-04, 06:03:42 AM","2023-05-04, 06:04:36 AM","Transformation process completed.","Success","0","2023-05-04","SCHEDULED"
"user_communicationmedium","2023-05-04, 06:03:43 AM","2023-05-04, 06:04:40 AM","Transformation process completed.","Success","18","2023-05-04","SCHEDULED"
"user_notificationsetting","2023-05-04, 06:03:47 AM","2023-05-04, 06:04:43 AM","Transformation process completed.","Success","0","2023-05-04","SCHEDULED"
"user_firebase","2023-05-04, 06:03:47 AM","2023-05-04, 06:04:44 AM","Transformation process completed.","Success","0","2023-05-04","SCHEDULED"
"user_account","2023-05-04, 06:03:41 AM","2023-05-04, 06:04:55 AM","Transformation process completed.","Success","30","2023-05-04","SCHEDULED"
"UserRefreshTokens","2023-05-04, 06:03:49 AM","2023-05-04, 06:04:59 AM","Transformation process completed.","Success","36","2023-05-04","SCHEDULED"
"user_login","2023-05-04, 06:03:47 AM","2023-05-04, 06:06:35 AM","Transformation process completed.","Success","295","2023-05-04","SCHEDULED"
"timeentry_payperiod","2023-05-04, 06:09:12 AM","2023-05-04, 06:10:04 AM","Transformation process completed.","Success","1","2023-05-04","MANUAL"
