"Id","UserId","Description","Date","IsRead","NotificationType","Misc","IsDeleted"
"00C4D0BA-BA96-4E80-B99B-701403EABBFD","DA6AC379-A8D7-4507-8182-08DAFF1D643C","Project New Ascent Inc-General has been created by Amber","2023-01-27 16:39:14.540742","True","4","{""Module"":0,""ModuleId"":""dc1189f1-9d2c-4957-9b89-a8f8f6788ba6"",""SubModuleId"":null,""Type"":null}","False"
"316EBD5C-F3BF-4B8F-81E5-7110B4B596E1","6FF70A9C-83D2-4E93-8187-08DAFF1D643C","Project Review of MLC Cultural Assessment Report has been created by Joshua","2023-01-31 17:56:56.144733","False","4","{""Module"":0,""ModuleId"":""a2061b0b-107c-498b-8db1-e2cbe3e36a49"",""SubModuleId"":null,""Type"":null}","False"
"8D75C90A-B201-43AE-89CF-7167C80B9F7C","50A482D2-A62E-4DDD-8181-08DAFF1D643C","Project Review of MLC Cultural Assessment Report has been created by Joshua","2023-01-31 17:56:56.144731","False","4","{""Module"":0,""ModuleId"":""a2061b0b-107c-498b-8db1-e2cbe3e36a49"",""SubModuleId"":null,""Type"":null}","False"
"6A41A79F-7CC1-4CBF-B1E1-71CE58E48221","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","Project Lloyd Jennings-General has been created by Anthony","2023-01-30 23:45:48.075188","True","4","{""Module"":0,""ModuleId"":""1b892db3-4fa5-4221-861c-45dbd43b2388"",""SubModuleId"":null,""Type"":null}","False"
"A629B5D3-B551-4414-A270-7AF30E972075","A753707C-58AB-43A4-D85E-08DAF8A9D2B6","Project NCF Corporate - Catalyst-General has been created by Amber","2023-01-27 16:36:39.713007","False","4","{""Module"":0,""ModuleId"":""d5a4cd3b-38a8-4bb2-a20d-8029a494860e"",""SubModuleId"":null,""Type"":null}","False"
"07A6B476-34DB-40BF-8B86-7C3C635BC238","F4A5AF47-4C44-415C-8189-08DAFF1D643C","Project Review of MLC Cultural Assessment Report has been created by Joshua","2023-01-31 17:56:56.144734","False","4","{""Module"":0,""ModuleId"":""a2061b0b-107c-498b-8db1-e2cbe3e36a49"",""SubModuleId"":null,""Type"":null}","False"
"559921D3-4E76-4A43-93E4-7CE051C967C9","6FF70A9C-83D2-4E93-8187-08DAFF1D643C","Project GRACE NPC-General has been created by Anthony","2023-01-30 23:13:40.403037","False","4","{""Module"":0,""ModuleId"":""337c79b2-69f8-48a1-a200-b1206f0825f1"",""SubModuleId"":null,""Type"":null}","False"
"351A6D8C-2136-4E9C-9369-7D8EC81EA5A9","6FF70A9C-83D2-4E93-8187-08DAFF1D643C","Project Scalability - Catalyst-General has been created by Amber","2023-01-27 16:53:49.829395","False","4","{""Module"":0,""ModuleId"":""2db392ca-6086-4a66-9f9c-cce07feebcd7"",""SubModuleId"":null,""Type"":null}","False"
"B6F60883-66B4-469C-A05E-7DAA2D554BA1","E04BD2D2-1A48-4EFE-8184-08DAFF1D643C","Project Business Transfer  J&J Estates, LLC has been created by Joshua","2023-01-31 18:14:03.515424","False","4","{""Module"":0,""ModuleId"":""f31c5ac3-21c4-4d8c-b999-6bbb363b3083"",""SubModuleId"":null,""Type"":null}","False"
"F0A89198-E492-4C9D-AAC8-7DF4EC6714D1","C73CFED1-5618-45BA-8186-08DAFF1D643C","Project NCF Corporate - Catalyst-General has been created by Amber","2023-01-27 16:36:39.713010","False","4","{""Module"":0,""ModuleId"":""d5a4cd3b-38a8-4bb2-a20d-8029a494860e"",""SubModuleId"":null,""Type"":null}","False"
