"EngagementId","UserId","EngagementDisabled","Id","BillRateId","CreateDate","UpdateDate","EffectiveDate"
"23BDDBC6-DBA4-45F0-C5F4-08DB00840455","AB995316-AC5B-4F93-3F22-08DB008453BF","False","A8DFABDC-4FD7-4A1A-A8DB-333394B052A0","D9059E96-8410-4C4C-001F-08DB0085AF8C","2023-01-27 16:49:56.207706","2023-01-27 16:49:56.207707",""
"FC946E98-8071-4094-AD06-08DB36C371D9","AB995316-AC5B-4F93-3F22-08DB008453BF","False","7E2D47D5-017B-46D3-B6C5-33B7E0CBAB1D","CD4C0638-7AB7-4DE8-3811-08DB36C37F78","2023-04-06 17:55:40.612527","2023-04-06 17:55:40.612528",""
"913CE298-30B8-4E90-E48D-08DB19100A6E","AB995316-AC5B-4F93-3F22-08DB008453BF","False","6F3BC828-28B6-4C5F-BF22-35ACF73B7062","D602B2D6-7C24-45DB-D43F-08DB19105D2A","2023-02-27 23:07:44.278959","2023-02-27 23:07:44.278960",""
"6E245FFC-C7DD-4415-0151-08DB3D4AB7BE","AB995316-AC5B-4F93-3F22-08DB008453BF","False","C0F0A72D-2590-414A-9C13-36AB3399376A","1317EF69-2B2B-4A88-BB01-08DB3D366DDF","2023-04-15 00:46:35.803976","2023-04-15 00:46:35.803977",""
"A8F1734B-489B-40EC-1813-08DB15BD3991","AB995316-AC5B-4F93-3F22-08DB008453BF","False","A4959F50-4277-43F2-80DE-36DCEAD8D38D","12A1F80E-6E81-411E-CADA-08DB15BD9DB5","2023-02-23 20:37:43.865699","2023-02-23 20:37:43.865700",""
"3AC40D83-D3CD-49C7-A4F7-08DB1B5E8D8D","AB995316-AC5B-4F93-3F22-08DB008453BF","False","3E337491-ADBC-4CBC-A9C7-382350AFA25A","216E82FD-6496-4457-9181-08DB1B4EDEE2","2023-03-02 21:07:38.576482","2023-03-02 21:07:38.576482",""
"58CAC6EF-B24A-4247-5E41-08DB2F1F530D","AB995316-AC5B-4F93-3F22-08DB008453BF","False","A55F8031-2DD9-4765-9058-38D02376FC4D","9EF63ED8-6DFC-4FEF-717D-08DB2F1A3DB2","2023-03-28 00:21:09.387967","2023-03-28 00:21:09.387967",""
"86C83CA3-3BEC-4FA3-6C6A-08DB2EE8BD46","AB995316-AC5B-4F93-3F22-08DB008453BF","False","13B21CAC-EDEF-4381-9261-3A3B3A456761","F3BB7A86-D480-4A37-2A2E-08DB2EE3B6A1","2023-03-27 17:29:26.472652","2023-03-27 17:29:26.472653",""
"04F2462F-D5E3-4FD9-8141-08DB1065B39C","AB995316-AC5B-4F93-3F22-08DB008453BF","False","1AD8C25D-86B1-4404-8FD4-3AA34D633343","F39ED198-B254-4461-9922-08DB10625C01","2023-02-16 22:23:27.721692","2023-02-16 22:23:27.721693",""
"76DD98A4-E61A-4EEE-2DA0-08DB1A80A9F0","AB995316-AC5B-4F93-3F22-08DB008453BF","False","786B3134-4EE1-4471-9A8E-3ABB72B0B038","5674DC08-DF5E-46C4-057D-08DB1A74BA3C","2023-03-01 19:02:24.192533","2023-03-01 19:02:24.192534",""
